"","month","race","severity","category","n"
"1",2015-06-01,"Black","felony","assault and battery",4
"2",2015-06-01,"Black","felony","drug offenses",5
"3",2015-06-01,"Black","felony","weapons",2
"4",2015-06-01,"Black","misdemeanor","assault and battery",10
"5",2015-06-01,"Black","misdemeanor","disturbing the peace",2
"6",2015-06-01,"Black","misdemeanor","drug offenses",9
"7",2015-06-01,"Black","misdemeanor","dui",5
"8",2015-06-01,"Black","misdemeanor","weapons",2
"9",2015-06-01,"Black",NA,"assault and battery",1
"10",2015-06-01,"Black",NA,"drug offenses",2
"11",2015-06-01,"Hispanic","felony","accessory or conspiracy",1
"12",2015-06-01,"Hispanic","felony","drug offenses",1
"13",2015-06-01,"Hispanic","felony","false imprisonment",4
"14",2015-06-01,"Hispanic","felony","theft",2
"15",2015-06-01,"Hispanic","misdemeanor","accessory or conspiracy",2
"16",2015-06-01,"Hispanic","misdemeanor","assault and battery",4
"17",2015-06-01,"Hispanic","misdemeanor","drug offenses",11
"18",2015-06-01,"Hispanic","misdemeanor","dui",5
"19",2015-06-01,"Hispanic","misdemeanor","false imprisonment",2
"20",2015-06-01,"Hispanic","misdemeanor","liquor laws",2
"21",2015-06-01,"Hispanic","misdemeanor","theft",4
"22",2015-06-01,"Hispanic","misdemeanor","weapons",1
"23",2015-06-01,"Hispanic",NA,"drivers' licenses",1
"24",2015-06-01,"Hispanic",NA,"drug offenses",2
"25",2015-06-01,"Other Asian","felony","assault and battery",1
"26",2015-06-01,"Other Asian","felony","drug offenses",1
"27",2015-06-01,"Other Asian","misdemeanor","assault and battery",1
"28",2015-06-01,"Other Asian","misdemeanor","disturbing the peace",1
"29",2015-06-01,"Other Asian","misdemeanor","drug offenses",6
"30",2015-06-01,"White","felony","accessory or conspiracy",3
"31",2015-06-01,"White","felony","assault and battery",8
"32",2015-06-01,"White","felony","drug offenses",12
"33",2015-06-01,"White","felony","theft",11
"34",2015-06-01,"White","felony","weapons",8
"35",2015-06-01,"White","misdemeanor","accessory or conspiracy",6
"36",2015-06-01,"White","misdemeanor","assault and battery",18
"37",2015-06-01,"White","misdemeanor","disturbing the peace",2
"38",2015-06-01,"White","misdemeanor","drug offenses",28
"39",2015-06-01,"White","misdemeanor","dui",8
