"date","broad_cat","disp_desc","n"
2015-01-01,"Miscellaneous general","Report Taken",1
2015-01-01,"Miscellaneous general","Service",5
2015-01-01,"Public services","Cancelled by RP",1
2015-01-01,"Public services","Referred",1
2015-01-01,"Public services","Report Taken",1
2015-01-01,"Public services","Service",2
2015-01-01,"Bikes","Arrest Made",1
2015-01-01,"Bikes","Service",1
2015-01-01,"Checkup","Cancelled by RP",2
2015-01-01,"Checkup","Service",24
2015-01-01,"Patrol","Service",5
2015-01-01,"Vehicular violations","Advised",4
2015-01-01,"Vehicular violations","Cited",5
2015-01-01,"Vehicular violations","Service",4
2015-01-01,"Miscellaneous crime/citation","Report Taken",3
2015-01-01,"Miscellaneous crime/citation","Unable to Locate",1
2015-01-01,"Disturbance","Arrest Made",1
2015-01-01,"Disturbance","Service",4
2015-01-01,"Disturbance","Unable to Locate",1
2015-01-01,"Alcohol/drugs","Service",1
2015-01-01,"Alcohol/drugs","Unable to Locate",1
2015-01-01,"Accidents/injuries","Report Taken",1
2015-01-01,"Burglary/theft","Cancelled by RP",1
2015-01-01,"Burglary/theft","Service",2
2015-01-01,"Person search","Cited",1
2015-01-01,"Person search","Report Taken",1
2015-01-01,"Person search","Service",3
2015-01-01,"Suspicious activity/threats","Advised",1
2015-01-01,"Suspicious activity/threats","Arrest Made",1
2015-01-01,"Suspicious activity/threats","Cited",1
2015-01-01,"Suspicious activity/threats","Service",8
2015-01-01,"Suspicious activity/threats","Unable to Locate",1
2015-01-01,"Suspicious activity/threats","Unfounded",1
2015-01-01,"Violent crime, physical & sexual abuse, death","Arrest Made",1
2015-01-02,"Miscellaneous general","Service",8
2015-01-02,"Public services","Referred",4
2015-01-02,"Public services","Service",6
2015-01-02,"Bikes","Advised",1
2015-01-02,"Bikes","Cited",1
2015-01-02,"Bikes","Service",5
2015-01-02,"Checkup","Advised",1
2015-01-02,"Checkup","Cancelled by RP",1
2015-01-02,"Checkup","Service",9
2015-01-02,"Checkup","Unable to Locate",2
2015-01-02,"Patrol","Service",6
2015-01-02,"Vehicular violations","Advised",8
2015-01-02,"Vehicular violations","Cited",23
2015-01-02,"Vehicular violations","Referred",1
2015-01-02,"Vehicular violations","Service",9
2015-01-02,"Vehicular violations","Unable to Locate",1
2015-01-02,"Miscellaneous crime/citation","Referred",1
2015-01-02,"Miscellaneous crime/citation","Service",4
2015-01-02,"Disturbance","Advised",2
2015-01-02,"Disturbance","Cancelled by RP",1
2015-01-02,"Disturbance","Report Taken",1
2015-01-02,"Disturbance","Service",3
2015-01-02,"Alcohol/drugs","Arrest Made",1
2015-01-02,"Alcohol/drugs","Service",1
2015-01-02,"Accidents/injuries","Report Taken",1
2015-01-02,"Accidents/injuries","Service",1
2015-01-02,"Burglary/theft","Report Taken",4
2015-01-02,"Burglary/theft","Service",4
2015-01-02,"Suspicious activity/threats","Advised",2
2015-01-02,"Suspicious activity/threats","Cited",1
2015-01-02,"Suspicious activity/threats","Report Taken",1
2015-01-02,"Suspicious activity/threats","Service",8
2015-01-02,"Suspicious activity/threats","Unable to Locate",2
2015-01-02,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-02,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-03,"Miscellaneous general","Incident Number Given",1
2015-01-03,"Miscellaneous general","Service",2
2015-01-03,"Public services","Arrest Made",1
2015-01-03,"Public services","Referred",2
2015-01-03,"Public services","Service",7
2015-01-03,"Bikes","Advised",1
2015-01-03,"Bikes","Service",1
2015-01-03,"Checkup","Advised",1
2015-01-03,"Checkup","Cancelled by RP",5
2015-01-03,"Checkup","Cited",1
2015-01-03,"Checkup","False Alarm",1
2015-01-03,"Checkup","Service",8
2015-01-03,"Patrol","Service",11
2015-01-03,"Vehicular violations","Advised",12
2015-01-03,"Vehicular violations","Arrest Made",1
2015-01-03,"Vehicular violations","Cited",6
2015-01-03,"Vehicular violations","Service",5
2015-01-03,"Miscellaneous crime/citation","Service",1
2015-01-03,"Disturbance","Advised",1
2015-01-03,"Disturbance","Service",2
2015-01-03,"Disturbance","Unfounded",1
2015-01-03,"Alcohol/drugs","Unable to Locate",1
2015-01-03,"Burglary/theft","Cancelled by RP",3
2015-01-03,"Burglary/theft","Online Crime Report",1
2015-01-03,"Burglary/theft","Report Taken",1
2015-01-03,"Burglary/theft","Service",1
2015-01-03,"Suspicious activity/threats","Advised",1
2015-01-03,"Suspicious activity/threats","Service",4
2015-01-03,"Suspicious activity/threats","Unable to Locate",1
2015-01-04,"Miscellaneous general","Service",4
2015-01-04,"Miscellaneous general","Unable to Locate",1
2015-01-04,"Public services","Service",5
2015-01-04,"Bikes","Advised",1
2015-01-04,"Bikes","Cited",1
2015-01-04,"Checkup","Cancelled by RP",2
2015-01-04,"Checkup","False Alarm",2
2015-01-04,"Checkup","Report Taken",1
2015-01-04,"Checkup","Service",12
2015-01-04,"Checkup","Unable to Locate",3
2015-01-04,"Patrol","Civil Problem",2
2015-01-04,"Patrol","Service",13
2015-01-04,"Vehicular violations","Advised",9
2015-01-04,"Vehicular violations","Arrest Made",3
2015-01-04,"Vehicular violations","Cited",1
2015-01-04,"Vehicular violations","Referred",1
2015-01-04,"Vehicular violations","Service",8
2015-01-04,"Miscellaneous crime/citation","Service",1
2015-01-04,"Disturbance","Service",1
2015-01-04,"Disturbance","Unable to Locate",2
2015-01-04,"Alcohol/drugs","Unfounded",1
2015-01-04,"Accidents/injuries","Report Taken",1
2015-01-04,"Accidents/injuries","Service",1
2015-01-04,"Burglary/theft","Report Taken",4
2015-01-04,"Person search","Unable to Locate",2
2015-01-04,"Suspicious activity/threats","Advised",2
2015-01-04,"Suspicious activity/threats","Cited",1
2015-01-04,"Suspicious activity/threats","Unable to Locate",2
2015-01-04,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-05,"Miscellaneous general","Cancelled by RP",1
2015-01-05,"Miscellaneous general","Report Taken",2
2015-01-05,"Miscellaneous general","Service",12
2015-01-05,"Public services","MORF",2
2015-01-05,"Public services","Referred",5
2015-01-05,"Public services","Service",1
2015-01-05,"Bikes","Cited",1
2015-01-05,"Checkup","Advised",1
2015-01-05,"Checkup","Cancelled by RP",6
2015-01-05,"Checkup","False Alarm",1
2015-01-05,"Checkup","Service",21
2015-01-05,"Patrol","Service",14
2015-01-05,"Vehicular violations","Advised",16
2015-01-05,"Vehicular violations","Cited",12
2015-01-05,"Vehicular violations","Referred",3
2015-01-05,"Vehicular violations","Service",17
2015-01-05,"Miscellaneous crime/citation","Advised",3
2015-01-05,"Miscellaneous crime/citation","Report Taken",1
2015-01-05,"Miscellaneous crime/citation","Service",10
2015-01-05,"Miscellaneous crime/citation",NA,1
2015-01-05,"Disturbance","Advised",1
2015-01-05,"Disturbance","Service",1
2015-01-05,"Accidents/injuries","Cancelled by RP",1
2015-01-05,"Accidents/injuries","Report Taken",1
2015-01-05,"Accidents/injuries","Service",1
2015-01-05,"Burglary/theft","Report Taken",1
2015-01-05,"Burglary/theft","Service",3
2015-01-05,"Person search","Service",3
2015-01-05,"Suspicious activity/threats","Advised",1
2015-01-05,"Suspicious activity/threats","Cited",1
2015-01-05,"Suspicious activity/threats","Report Taken",1
2015-01-05,"Suspicious activity/threats","Service",4
2015-01-05,"Suspicious activity/threats","Unable to Locate",2
2015-01-05,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-05,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-06,"Miscellaneous general","Referred",2
2015-01-06,"Miscellaneous general","Report Taken",2
2015-01-06,"Miscellaneous general","Service",7
2015-01-06,"Miscellaneous general","Unable to Locate",1
2015-01-06,"Public services","Cancelled by RP",1
2015-01-06,"Public services","Online Crime Report",1
2015-01-06,"Public services","Referred",3
2015-01-06,"Public services","Service",5
2015-01-06,"Bikes","Advised",1
2015-01-06,"Bikes","Cited",1
2015-01-06,"Checkup","Advised",1
2015-01-06,"Checkup","Cancelled by RP",6
2015-01-06,"Checkup","Cited",1
2015-01-06,"Checkup","False Alarm",1
2015-01-06,"Checkup","Referred",1
2015-01-06,"Checkup","Report Taken",1
2015-01-06,"Checkup","Service",14
2015-01-06,"Checkup","Unable to Locate",1
2015-01-06,"Patrol","Civil Problem",1
2015-01-06,"Patrol","Service",15
2015-01-06,"Vehicular violations","Advised",27
2015-01-06,"Vehicular violations","Arrest Made",1
2015-01-06,"Vehicular violations","Cited",12
2015-01-06,"Vehicular violations","Referred",1
2015-01-06,"Vehicular violations","Service",10
2015-01-06,"Vehicular violations","Unable to Locate",1
2015-01-06,"Miscellaneous crime/citation","Advised",1
2015-01-06,"Miscellaneous crime/citation","Online Crime Report",1
2015-01-06,"Miscellaneous crime/citation","Report Taken",1
2015-01-06,"Miscellaneous crime/citation","Service",11
2015-01-06,"Disturbance","Cancelled by RP",1
2015-01-06,"Disturbance","Service",5
2015-01-06,"Disturbance","Unable to Locate",2
2015-01-06,"Accidents/injuries","Report Taken",1
2015-01-06,"Burglary/theft","Cancelled by RP",2
2015-01-06,"Burglary/theft","Online Crime Report",6
2015-01-06,"Burglary/theft","Report Taken",5
2015-01-06,"Person search","Report Taken",1
2015-01-06,"Suspicious activity/threats","Advised",1
2015-01-06,"Suspicious activity/threats","Service",4
2015-01-06,"Suspicious activity/threats","Unable to Locate",5
2015-01-06,"Violent crime, physical & sexual abuse, death","Referred",1
2015-01-06,"Violent crime, physical & sexual abuse, death","Report Taken",2
2015-01-07,"Miscellaneous general","Report Taken",4
