"","indiv_id","date","sex","race","age","charge_num","sec_code","ca_code","section_full","section","subsection1","subsection2","subsection3","subsection4","subsection5","part","part_head","title","title_head","chapter","chapter_head","division","division_head","description_1","description_2","description_3","description_4","description_5","description_6","description_7","description_8","sentence_1","sentence_2","sentence_3","sentence_4","sentence_5","sentence_6","sentence_7","sentence_8","severity_1","severity_2","severity_3","severity_4","severity_5","severity_6","severity_7","severity_8","category"
"1","1",2015-06-02,"M","White",44,"charge1","11377(A)HS","HS","11377 (A)","11377","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Drug offenses"
"2","2",2015-06-03,"M","White",58,"charge1","647(F)PC","PC","647 (F)","647","(F)",NA,NA,NA,NA,"1","Crimes and punishments","15","Miscellaneous crimes","1","Of other and miscellaneous offenses",NA,NA,"DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL","DISORDERLY CONDUCT:ALCOHOL","DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG","DISORDERLY CONDUCT:TOLUENE",NA,NA,NA,NA,"1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL",NA,NA,NA,NA,"Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Drug offenses"
"3","3",2015-06-04,"M","White",28,"charge1","11378HS","HS","11378","11378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE FOR SALE","POSSESS CONTROLLED SUBSTANCE FOR SALE",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS",NA,NA,NA,NA,NA,NA,"Felony","Felony",NA,NA,NA,NA,NA,NA,"Drug offenses"
"4","3",2015-06-04,"M","White",28,"charge2","21810PC","PC","21810","21810",NA,NA,NA,NA,NA,"6","Control of deadly weapons",NA,NA,NA,NA,NA,NA,"MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES","MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES","MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES","MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Weapons"
"5","3",2015-06-04,"M","White",28,"charge3","11364.1(A)HS","HS","11364.1 (A)","11364.1","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESSION DRUG PARAPHENALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"6","4",2015-06-05,"M","White",19,"charge1","182(A)(1)PC","PC","182 (A) (1)","182","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","8","Conspiracy",NA,NA,"CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Miscellaneous"
"7","4",2015-06-05,"M","White",19,"charge2","487(A)PC","PC","487 (A)","487","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","5","Larceny",NA,NA,"GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Theft"
"8","4",2015-06-05,"M","White",19,"charge3","496(A)PC","PC","496 (A)","496","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","5","Larceny",NA,NA,"RECEIVE/ETC KNOWN STOLEN PROPERTY","RECEIVE/ETC KNOWN STOLEN PROPERTY","RECEIVE/ETC KNOWN STOLEN PROPERTY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Theft"
"9","5",2015-06-05,"M","White",22,"charge1","10851(A)VC","VC","10851 (A)","10851","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","TAKE VEHICLE WITHOUT OWNER'S CONSENT",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,NA,"Felony","Misdemeanor",NA,NA,NA,NA,NA,NA,"Theft"
"10","5",2015-06-05,"M","White",22,"charge2","182(A)(1)PC","PC","182 (A) (1)","182","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","8","Conspiracy",NA,NA,"CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Miscellaneous"
